"MB_CODIGO";"MB_IMPLEMENTACAO"
3.255;"drop mousebutton released java awt dnd drop target listener drop java awt dnd drop target drop event drop drop target drop event drop target drop event log debug dropping prevent hover timer doing unwanted expand path collapse path hover timer stop ghost image repaint ghost rectangle bounds drop acceptable drop target drop event drop target drop event reject drop transferable drop target drop event transferable parent node loc drop target drop event location tree path destination path path location loc loc log debug drop location loc loc valid drag destination path drop target drop event reject drop model elements transfered collection model elements collection transfer data transferable model elements uml collection flavor log debug transfer data model elements object dest mutable tree node destination path path component user object object src mutable tree node source path path component user object action drop target drop event drop action user drop actions ctrl shift action link ctrl action copy shift action move none action move copy action action constants action copy move action action constants action move move action copy action drop target drop event reject drop collection targets array list drop target drop event accept drop action iterator model elements iterator object log debug move action move copy model core helper valid namespace dest model core helper set namespace dest targets add uml diagram uml diagram uml diagram relocation allowed dest relocate dest explorer event adaptor instance model element changed src explorer event adaptor instance model element changed dest todo tree refresh expand visible destination path expand path destination path targets add drop target drop event drop target context drop complete target manager instance set targets targets java lang illegal exception ils log debug drop illegal exception drop target drop event reject drop drop target drop event drop target context drop complete exception log debug drop exception drop target drop event reject drop unsupported flavor exception ufe log debug drop unsupported flavor exception drop target drop event reject drop"
3.256;"java awt dnd drop target listener drop action changed java awt dnd drop target drag event drop action changed drop target drag event drop target drag event drag acceptable drop target drag event drop target drag event reject drag drop target drag event accept drag drop target drag event drop action"
3.257;"param drop target event droptargetevent drag acceptable drag acceptable drop target drag event drop target event accept copy move gestures link supported drop target event drop action constants action copy move prohibit dropping onto drag source drop target event location tree path path path location path path equals source path"
3.258;"param drop target drop event droptargetdropevent drop acceptable drop acceptable drop target drop event drop target drop event accept copy move gestures link supported drop target drop event drop action constants action copy move prohibit dropping onto drag source drop target drop event location tree path path path location path path equals source path"
3.259;"constructor action properties translator localize action properties resource loader wrapper lookup icon action properties set tooltip string value action description translator localize action properties string local mnemonic translator localize action properties mnemonic local mnemonic local mnemonic length value action mnemonic key integer local mnemonic"
3.260;"java awt event action listener action performed java awt event action event action performed action event action performed project browser project browser instance select tab named action properties"
3.261;"action enabled org tigris gef undo undoable action enabled enabled"
3.262;"returns singleton action properties singleton singleton"
3.263;"junit framework test set set registry collections map hash map"
3.264;"test registry mechanism event pump register look listeners test registry collection matches model event pump mdr impl register registry value key model event pump mdr impl register registry main key model event pump mdr impl register registry sub key string subkey matches model event pump mdr impl matches registry key foo check single value matches model event pump mdr impl matches registry key foo empty matches model event pump mdr impl matches registry key foo check single main matches matches model event pump mdr impl matches registry key subkey matches contains sub matches contains main equals matches size model event pump mdr impl unregister registry main key matches model event pump mdr impl matches registry key subkey check single sub matches test multipe items registered single key set model event pump mdr impl register registry multi key model event pump mdr impl register registry multi key matches model event pump mdr impl matches registry key foo matches contains multi matches contains multi equals matches size model event pump mdr impl unregister registry multi key matches model event pump mdr impl matches registry key foo check single multi matches model event pump mdr impl unregister registry multi key matches model event pump mdr impl matches registry key foo check single multi matches model event pump mdr impl unregister registry multi key model event pump mdr impl matches registry key foo empty remove item remove entries key model event pump mdr impl register registry multi key model event pump mdr impl register registry multi key model event pump mdr impl unregister registry key model event pump mdr impl matches registry key foo empty model event pump mdr impl register registry multi key string subkey model event pump mdr impl register registry multi key string subkey matches model event pump mdr impl matches registry key subkey matches contains multi matches contains multi equals matches size model event pump mdr impl matches registry key foo empty model event pump mdr impl unregister registry multi key string subkey matches model event pump mdr impl matches registry key subkey matches model event pump mdr impl matches registry key subkey matches contains multi matches contains multi equals matches size model event pump mdr impl unregister registry multi key string subkey matches model event pump mdr impl matches registry key subkey check single multi matches model event pump mdr impl register registry multi key string subkey model event pump mdr impl register registry multi key model event pump mdr impl unregister registry key model event pump mdr impl matches registry key subkey empty"
3.266;"constructor uml machine top list model uml transition effect list model effect"
3.267;"org argouml uml uml model element list model build model list build model list remove elements add element model facade effect target"
3.268;"org argouml uml uml model element list model valid element object valid element object base element element model facade effect target"
3.269;"constructor prop panel uml collaboration diagram prop panel uml collaboration diagram translator localize label collaboration diagram lookup icon collaboration diagram"
3.270;"invoked module loaded param event module loaded argo module event"
3.271;"invoked module unloaded param event module unloaded argo module event"
3.272;"invoked module enabled param event module enabled argo module event"
3.273;"invoked module disabled param event module disabled argo module event"
3.274;"mock style panel mock"
3.275;"org argouml tab target refresh refresh refresh refresh called"
3.276;"returns refresh called refresh called refresh called"
3.277;"param arg name test test style panel string arg arg"
3.278;"test setting target test target set style panel pane mock style panel object target object target event target event target event target set object object target pane target set target type object refresh called mock style panel pane refresh called target uml diagram target event target event target set object object target pane target set target type uml diagram refresh called mock style panel pane refresh called target model core factory create target event target event target set object object target pane target set target modelelement refresh called mock style panel pane refresh called target fig text target event target event target set object object target pane target set target fig refresh called mock style panel pane refresh called"
3.279;"javax swing tree tree model child java lang object object child object parent index parent list knowledge type node types element index parent knowledge type node knowledge type node ktn knowledge type node parent enumeration item designer designer list elements item elements item item item item element item contains knowledge type ktn name index item index index bounds exception child shouldnt list type item"
3.280;"javax swing tree tree model child count java lang object child count object parent parent list knowledge type node types size parent knowledge type node knowledge type node ktn knowledge type node parent enumeration item designer designer list elements count item elements item item item item element item contains knowledge type ktn name count count"
3.281;"javax swing tree tree model index child java lang object java lang object index child object parent object child parent list knowledge type node types index child parent knowledge type node instead makning vector decrement index found index vector candidates vector knowledge type node ktn knowledge type node parent enumeration item designer designer list elements item elements item item item item element item contains knowledge type ktn name candidates add element item candidates index child"
3.282;"javax swing tree tree model leaf java lang object leaf object node node list node knowledge type node child count node"
3.283;"javax swing tree tree model value path changed javax swing tree tree path java lang object value path changed tree path path object value"
3.284;"javax swing tree tree model add tree model listener javax swing event tree model listener add tree model listener tree model listener"
3.285;"javax swing tree tree model remove tree model listener javax swing event tree model listener remove tree model listener tree model listener"
3.286;"constructor uml guard transition list model uml event transition list model transition"
3.429;"sets uid refs param uid refs uid refs set set uuid refs hash map uid refs uuid refs uid refs"
3.287;"org argouml uml uml model element list model build model list build model list remove elements add model facade transitions target"
3.288;"org argouml uml uml model element list model valid element object valid element object base element model facade transitions target contains element"
3.289;"constructor param poster poster param headline param priority param description param info url param offs offenders uml item poster poster string string string list set offs poster offs"
3.290;"constructor param poster poster param headline param priority param description param info url uml item poster poster string string string poster"
3.291;"constructor param poster critic param offenders param dsgr designer uml item critic object designer dsgr dsgr"
3.292;"constructor param poster critic param offs offenders param dsgr designer uml item critic list set offs designer dsgr offs dsgr"
3.293;"constructor param critic created todoitem uml item critic"
3.294;"action jumps diagram containing offenders calls link deselect link select call link project browser jump diagram java util vector action deselect sets target convenient effect project browser instance jump diagram offenders vector select"
3.295;"org argouml cognitive item deselect deselect enumeration offs offenders elements project project manager manager current project offs elements object offs element highlightable highlightable set highlight iterator iter figs figs iterator iter figs object iter figs highlightable highlightable set highlight"
3.296;"org argouml cognitive item select select enumeration offs offenders elements project project manager manager current project offs elements object offs element highlightable highlightable set highlight iterator iter figs figs iterator iter figs object iter figs highlightable highlightable set highlight"
3.297;"org argouml explorer rules perspective rule rule name string rule name translator localize misc project model"
3.298;"org argouml explorer rules perspective rule children java lang object collection children object parent parent project project parent user defined models"
3.299;"org argouml explorer rules perspective rule dependencies java lang object set dependencies object parent todo"
3.300;"constructor action argument action argument"
3.301;"java awt event action listener action performed java awt event action event action performed action event action performed object target target model facade action target object argument model common behavior factory create argument model common behavior helper add actual argument target argument target manager instance set target argument"
3.302;"constructor generic object fixture param arg name test param ent model entity generic uml object test fixture string arg object ent arg entity ent"
3.303;"test set set exception set"
3.304;"test tear tear exception tear validated fail test self validate"
3.305;"prohibited name starts org argouml fail found argo uml name"
3.306;"ensure calling reference argo uml classes param self testcase validate test generic test self todo reflection test ensure argo uml classes check superclass extend reference argo uml classes prohibited self superclass enumerate declaring enumerate constructors enumerate methods enumerate method arguments enumerate fields indicate test validated validated"
3.307;"indicate tested type testcase param model element param value set truth object truths"
3.308;"param object tests run truth tests object run truth test model facade model element run truth test model facade abstraction model meta types abstraction run truth test model facade association model meta types association run truth test model facade association model meta types association run truth test model facade association role model meta types association role run truth test model facade model meta types uml run truth test model facade classifier model meta types classifier run truth test model facade comment model meta types comment run truth test model facade component model meta types component run truth test model facade component instance model meta types component instance run truth test model facade data type model meta types data type run truth test model facade dependency model meta types dependency run truth test model facade composite model meta types composite currently token model facade nif run truth test model facade element model facade element nif run truth test model facade expression model facade expression nif run truth test model facade extension model facade extension nif run truth test model facade feature model facade feature run truth test model facade generalizable element model meta types generalizable element run truth test model facade generalization model meta types generalization run truth test model facade instance model meta types instance nif run truth test model facade interaction model facade interaction run truth test model facade model meta types run truth test model facade link model meta types link nif truth test model facade method model meta types method run truth test model facade model model meta types model run truth test model facade model element model meta types model element run truth test model facade namespace model meta types namespace run truth test model facade node model meta types node run truth test model facade node instance model meta types node instance run truth test model facade operation model meta types operation run truth test model facade object model meta types object run truth test model facade permission model meta types permission run truth test model facade model meta types run truth test model facade reception model meta types reception run truth test model facade relationship model meta types relationship run truth test model facade machine model meta types machine run truth test model facade vertex model meta types vertex run truth test model facade stereotype model meta types stereotype nif run truth test model facade structural feature model meta types structural feature nif run truth test model facade tagged value model meta types tagged value run truth test model facade transition model meta types transition run truth test model facade model meta types run truth test model facade actor model meta types actor"
3.309;"param result param expected param run truth test result expected object equals failure testing expected result"
3.310;"param result param run truth test result object todo look truth table truth truths truth truth run truth test result truth value"
3.311;"org tigris gef graph mutable graph model add node java lang object add node object node contains node node model facade partition node add node node"
3.312;"constructor action extension action extension"
3.313;"java awt event action listener action performed java awt event action event action performed action event action performed model facade target model factory build extension target"
3.314;"constructor defaults name action global icon action model element translator localize action set tooltip string value action description translator localize action"
3.315;"constructor param name localized name action action model element string name translator localize name resource loader wrapper lookup icon name set tooltip string value action description translator localize name"
3.316;"object model element target target"
3.317;"sets target param target target set set target object target target target"
3.318;"org argouml explorer rules perspective rule rule name string rule name translator localize misc summary association"
3.319;"org argouml explorer rules perspective rule children java lang object collection children object parent parent associations node model core helper associations associations node parent parent"
3.320;"org argouml explorer rules perspective rule dependencies java lang object set dependencies object parent parent associations node set set hash set set add associations node parent parent set"
3.321;"dont instantiated argo"
3.322;"change startup directory param dir directory save set directory string dir store user configuration gef org tigris gef base globals set directory dir configuration set string key startup dir dir"
3.323;"startup directory startup directory string directory configuration exists otherwise gef configuration string key startup dir org tigris gef base globals directory"
3.324;"returns vector plugins type passed satisfy contexts required plugins available returns param plugin type plugin search param context plugin specific query parameters vector plugins deprecated linus tolke replaced module loader array list plugins plugin type object context module loader instance plugins plugin type context"
3.325;"returns vector plugins type passed plugins available returns param plugin type plugin search vector plugins deprecated linus tolke replaced module loader array list plugins plugin type module loader instance plugins plugin type"
3.326;"initializes module loader multiple calls ignored deprecated linus tolke reason call argo initialize modules module loader instance initialize"
3.327;"convenience helper access argo home directory argo home directory deprecated linus tolke dont reason call argo string argo home module loader instance argo home"
3.328;"convenience helper access argo root directory argo root directory deprecated linus tolke dont reason call argo string argo root module loader instance argo root"
3.329;"look icon resource param arg name resource icon icon lookup icon resource string arg resource loader wrapper lookup icon resource arg"
3.330;"look icon resource param arg name resource param arg description resource icon icon lookup icon resource string arg string arg resource loader wrapper lookup icon resource arg arg"
3.331;"constructor param arg test name test uml extend string arg arg model meta types extend validate test generic"
3.332;"check usecases test usecases extend object myextend helper myextend extend myextend"
3.496;"singleton action copy instance instance"
3.333;"check correct test extend correct object base model facade base extend object included model facade extension extend base included"
3.334;"test extension created correctly setup test usecase extension collection eps model facade extension eps size eps contains eps contains collection eps model facade extension eps eps size"
3.335;"test setting extension test set extension collection eps model facade extension helper set extension extend eps collection eps model facade extension extend eps contains eps eps size eps size"
3.336;"junit framework test set set exception set model uml factory build node model meta types model uml factory build node model meta types build builds extend model factory build extend model factory build extension model factory build extension"
3.337;"constructor param localized name param priority decision string name translator localize priority"
3.338;"java lang object hash code hash code name name hash code"
3.339;"decisions considered equal names equal priority considered java lang object equals java lang object equals object decision decision name equals name"
3.340;"localized name string name name"
3.341;"param localized name set name string name"
3.342;"priority priority priority"
3.343;"param priority set priority priority"
3.344;"java lang object string string string name"
3.345;"constructor uml machine transition list model uml machine transition list model transition"
3.346;"org argouml uml uml model element list model build model list build model list set elements model facade transitions target"
3.347;"org argouml uml uml model element list model valid element object valid element object base element model facade transitions target contains element"
3.348;"constructor test activity graphs helper param arg test name test activity graphs helper string arg arg"
3.349;"test metamodel name correct test meta model name check uml model helper meta model name correct model activity graphs factory test activity graphs factory model elements"
3.350;"test stereotype valid test valid stereo type check uml model helper valid stereo type model activity graphs factory test activity graphs factory model elements"
3.351;"constructor param source bean fired event param property name programmatic name property changed param value value property param value value property param original event event fired internally model subsystem caused attribute change event object source string property name object value object value event object original event source property name value value original event"
3.352;"constructor action save graphics translator localize action save graphics set tooltip string value action description translator localize action save graphics"
3.353;"java awt event action listener action performed java awt event action event action performed action event action performed save"
3.354;"param overwrite overwrite success save overwrite project project manager manager current project target manager target manager instance vector targets diagrams iterator targets iterator file save dir save dir save dir user cancelled argo diagram active diagram active diagram argo diagram argo diagram set target save diagram overwrite save dir set target active diagram"
3.355;"param overwrite overwrite param target diagram param save dir directory save success save diagram overwrite object target file save dir project browser project browser instance target diagram string name diagram target name name util strip junk name fix probably worthwhile factor chooser directory stuff file handling coming file file file save dir name save graphics manager instance suffix string name file name string path file parent cmd save graphics cmd save graphics manager instance save command suffix save graphics manager instance suffix cmd status unknown graphics file type extension save graphics manager instance suffix status writing path name save graphics file file cmd overwrite status wrote path name file found exception ignore log error file found exception ignore exception ignore log error exception ignore"
3.356;"param current project returns user approve choice file save dir project file chooser chooser file chooser string configuration string save graphics manager key saveall graphics path length chooser set selected file file project browser project browser instance retval chooser save dialog retval file chooser approve option file file chooser selected file string path file path configuration set string save graphics manager key saveall graphics path path file"
3.357;"save graphics file file file cmd save graphics cmd overwrite exception project browser project browser instance file exists overwrite response option pane confirm dialog translator message format optionpane confirm overwrite object file translator localize optionpane confirm overwrite title option pane yes option response option pane option file output stream file output stream file cmd set stream cmd set scale configuration integer save graphics manager key graphics resolution cmd close"
3.358;"file chooser file chooser project file chooser chooser url url file length string filename url file filename starts file chooser file chooser url file exception log error exception file chooser chooser chooser file chooser chooser set dialog title translator localize filechooser save graphics chooser set dialog type file chooser dialog chooser set file selection mode file chooser directories chooser set multi selection enabled chooser"
3.359;"constructor illegal name setup head desc add supported decision uml decision naming add trigger name"
3.360;"org argouml uml cognitive critics uml predicate java lang object org argouml cognitive designer predicate object designer dsgr model facade model element object model element string name model facade name name name equals string name str name len name str length normal model elements allowed spaces exception len name str character letter digit model facade vertex found"
3.361;"org argouml cognitive poster clarifier icon clarifier name instance"
3.362;"constructor param project url url read project project url project url url persistence manager instance fix url extension project url"
3.363;"constructor project profile profile java project settings project settings model model management factory set root model authorname configuration string argo key user fullname authoremail configuration string argo key user email description moved action version argo version version searchpath vector list history file models vector diagrams vector prefs generation preferences model type cache hash map log info empty project empty model jaap branderhorst load model makes argo depend java set model profile profile model profile exception todo handle exceptions project exception log error exception setting profile add search path project dir target manager instance add target listener"
3.364;"base name project name minus valid file extension name string string base name string name persistence manager instance base name"
3.365;"name project string name todo maybe separate name url untitled file string name url file name index name substring"
3.366;"set project url param url string malformed url exception argument converted url set name string malformed url exception string url url string substring index set url url"
3.367;"url project url url url url"
3.368;"set url project param url url set set url url url url url persistence manager instance fix url extension url log debug enabled log debug setting project url url url url url"
3.369;"set project file convert file url param file file set project set file file file url project url util file url file log debug enabled log debug setting project file name url project url url project url malformed url exception murle log error set file file murle exception log error set file file"
3.370;"search path vector search path searchpath"
3.371;"param search path element element added searchpath add search path string search path element searchpath contains search path element searchpath add element search path element"
3.372;"project vector list log info getting size"
3.373;"param diagram add diagram argo diagram project project diagram add diagram diagram added successfully add add"
3.374;"param added add todo project todo list adding todo removes existing add log info added todo size"
3.375;"param added add object argo diagram log info adding diagram add diagram argo diagram project todo list log info adding todo add todo project todo list model facade model log info adding model add model illegal argument exception uml model todo diagram name log info size"
3.376;"param model add model object found object current project model current object current model project model current model current model found found models contains add model past veto add project project model log info adding model start list add log info attempted load models illegal argument exception attempted load models"
4.280;"org argouml model direction parameter object parameter parameter direction pdk"
3.377;"param model namespace add model object model model facade namespace model illegal argument exception fire indeterminate change avoid copying vector models contains model models add element model set current namespace model project manager manager set save enabled"
3.378;"removes project diagram completely project param argo diagram remove project diagram argo diagram active diagram argo diagram diagram diagrams size deleting diagram create todo mdi wont object tree root model model management factory root model diagram diagram factory instance create diagram uml diagram tree root add diagram topmost diagram deleted current diagram argo diagram diagrams diagram diagram argo diagram diagrams active diagram diagram target manager instance set target diagram remove diagram remove remove project manager manager set save enabled"
3.379;"author name author name string authorname authorname"
3.380;"set author name param author name set authorname string authorname"
3.381;"author name author name string authoremail authoremail"
3.382;"set author name param author name set authoremail string authoremail"
3.383;"version version string version version"
3.384;"set version param version set version string version"
3.385;"description description string description description"
3.386;"set description param description set description string description"
3.387;"history file history file string history file history file"
3.388;"set history file param history file set history file string history file"
3.389;"returns models defined user model models vector user defined models vector user defined models models"
3.390;"returns models including model xmi collection containing models collection models set ret hash set ret add models ret add model ret"
3.391;"model isnt exactly model code code returned model object model models size models element"
3.392;"searches type classifier name type found type created added current namespace param name type classifier found classifier object type string type"
3.393;"searches type classifier name define type defined type classifier found newly created type added current namespace name param name type classifier found param define define classifier found classifier object type string define trim length object cls num models models size num models cls type model models element cls cls cls type model model hey move model user cls cls model model management helper corresponding element cls root cls define log debug type defined cls model core factory build current namespace model core helper set name cls cls"
3.394;"figs diagrams project including figs containing operation containing figclass returned param looking model element object object collection collection figs collection figs object collection figs array list iterator diagrams iterator argo diagram diagram argo diagram object fig diagram containing fig fig figs add fig figs"
3.395;"returns list figs uml object diagrams param obj uml object list list figs collection presentations object obj collection figs array list iterator diagrams iterator diagram diagram diagram fig fig diagram presentation obj fig figs add fig figs"
3.396;"classifier name classifier matching name param name param namespace search found classifier code code found object type model string object model facade namespace illegal argument exception looking classifier namespace object namespace expected collection classifiers model model management helper model elements model meta types classifier object classifiers classifiers array object classifier classifiers length classifier classifiers model facade name classifier model facade name classifier equals classifier"
3.397;"param namespace set current namespace object model facade namespace illegal argument exception current namespace"
3.398;"namespace object current namespace current namespace"
3.399;"diagrams vector diagrams diagrams"
3.400;"diagrams project argo tee diagrams project diagram count diagrams size"
3.401;"diagram specific name uid diagram object found otherwize param name name search argo diagram diagram string name iterator diagrams iterator argo diagram argo diagram name name equals name item uid item uid string equals name"
3.402;"param diagram added add diagram argo diagram send indeterminate value instead copy vector diagrams add element add vetoable change listener vcl project manager manager set save enabled"
3.403;"removes diagram list diagrams removes hopefully event listeners diagram remove diagram project called directly move trash remove diagram param argo diagram remove diagram argo diagram remove vetoable change listener vcl diagrams remove element uml diagram uml diagram remove dependent modelelements statemachine statechartdiagram object uml diagram dependent element move trash"
3.404;"java beans vetoable change listener vetoable change java beans property change event vetoable change property change event evt property veto exception evt property name equals name project manager manager set save enabled"
3.405;"param modelelement total presentation modelelement project presentation count object model facade model element illegal argument exception presentations size diagrams size size diagram diagram diagrams element presentations layer presentation count presentations"
3.406;"initial target casu diagram model object initial target diagrams size diagrams element models size models element"
3.407;"param cgp generation preferences set generation prefs generation preferences cgp prefs cgp"
3.408;"generation preferences generation preferences generation prefs prefs"
3.409;"vetoable change support vetoable change support veto support veto support veto support vetoable change support veto support"
3.410;"executed save pre save diagrams size diagram diagrams element pre save todo pre save models"
3.411;"execcuted save post save diagrams size diagram diagrams element post save todo post save models project manager manager set save enabled"
3.412;"executed load post load diagrams size diagram diagrams element post load issue root set leads displaying prop panels object model model log info setting root model model set root model project manager manager set save enabled dont hash map anymore free memory uuid refs"
3.413;"moves object trash deletes completely dependent structures deleting object involves pre removing target history deleting fig representations object deleting uml element deleting dependent uml modelelements deleting comment edges uml elements move trash enclosed objects graphically drawn top move trash subdiagrams object saveguard diagram left current diagram deleted select trigger explorer diagram deleted set save dirty flag projectmanager pre param obj object deleted org argouml kernel project trash internal object move trash object obj trashcan contains obj trash internal obj"
3.414;"removes object project param obj object thrown trash internal object obj model facade model obj delete model obj trashcan add obj model facade model element obj model uml factory delete obj obj project contains obj todo bob condition reached surely obj model element previous project remove obj todo presumably relevant obj actually model added test model facade model obj clarify models contains obj models remove obj obj argo diagram target manager instance remove target obj target manager instance remove history element obj remove project diagram argo diagram obj manually delete diagrams dont decent event system set explorer event adaptor instance model element removed obj obj fig target manager instance remove target obj target manager instance remove history element obj fig obj delete model todo bob ive seen appear log believe code reached delete fig edge fig node actually call method owner fig figs owner primitives circle etc deleted crtl del removed del log error request delete fig obj name obj comment edge target manager instance remove target obj target manager instance remove history element obj comment edge comment edge obj log info removing link annotated element comment model core helper remove annotated element comment annotated element"
3.415;"param obj object object trashed trash object obj trashcan contains obj"
3.416;"param model uml model set model object model model facade model model illegal argument exception model model type received model name model model model type cache hash map"
3.417;"model model object model model"
3.418;"type name model param name name type object type model string name model type cache contains key name model type cache name object result type model name model model type cache name result result"
3.419;"returns root model object root model model management factory root model"
3.420;"sets root param root root set uml model set root object root model facade model root illegal argument exception object tree root model model management factory root model tree root models remove tree root model model management factory set root model root add model root"
3.421;"returns name valid name diagram valid means occur name diagram param name name test name valid valid diagram name string name iterator diagrams iterator argo diagram diagram argo diagram diagram name equals name"
3.422;"returns prefs deprecated generation prefs instead generation preferences generation preferences prefs prefs"
3.423;"returns searchpath vector vector searchpath searchpath"
3.424;"returns url url url url url"
3.430;"sets veto support param veto support veto support set set veto support vetoable change support veto support veto support veto support"
3.431;"current viewed diagram current viewed diagram argo diagram active diagram active diagram"
3.432;"param diagram argo diagram set active diagram argo diagram diagram active diagram diagram"
3.433;"target listener target added target event target added target event set target target"
3.434;"target listener target removed target event target removed target event set target target"
3.435;"target listener target set target event target set target event set target target"
3.436;"called update current namespace active diagram target changed todo parameter param target set target object target object current namespace target target manager instance model target target uml diagram current namespace uml diagram target namespace model facade namespace target current namespace target model facade model element target current namespace model facade namespace target current namespace root set current namespace current namespace target argo diagram active diagram argo diagram target"
3.437;"remove project remove diagrams iterator diagrams iterator diagram diagram diagram diagram remove models iterator models iterator object model log debug deleting project model model facade name model model uml factory delete model models model log debug deleting profile model model facade name model model uml factory delete model model diagrams diagrams uuid refs uuid refs model type cache model type cache models diagrams uuid refs model type cache url authorname authoremail description version searchpath history file model current namespace prefs veto support active diagram target manager instance remove target listener trashcan"
3.438;"returns persistence version persistence version persistence version"
3.439;"param persistence version set set persistence version persistence version"
3.440;"returns profile profile profile profile"
3.441;"repair project save takes report fixes string repair string report iterator iterator project project report repair report"
3.442;"settings project project settings project settings project settings"
3.443;"construct selection classifier role fig param fig selection classifier role fig"
3.444;"param incoming button enabled set incoming button enabled incoming"
3.445;"param outgoing button enabled set outgoing button enabled outgoing"
3.446;"org tigris gef base selection hit handle java awt rectangle org tigris gef presentation handle hit handle rectangle handle hit handle index paint buttons editor globals cur editor selection manager selection manager size mode manager mode manager includes mode modify pressed button content content content width content height assocrole icon width assocrole icon height outgoing hit left index instructions add outgoing classifierrole incoming hit index instructions add incoming classifierrole hit index instructions add associationrole index instructions move object"
3.447;"org tigris gef base selection buttons paint buttons java awt graphics paint buttons graphics content content content width content height outgoing paint button left assocrole incoming paint button assocrole outgoing incoming paint button selfassoc"
3.448;"org tigris gef base selection drag handle org tigris gef presentation handle drag handle handle hand hand index set paint buttons drag handle hand content content content width content height object edge type object node type model meta types classifier role editor globals cur editor graph model graph model mutable graph model reverse hand index add outgoing edge type model meta types association role add incoming edge type model meta types association role reverse add self drag log warn invalid handle edge type node type mode create edge node mode create edge node edge type setup fig node content content owner reverse push mode"
3.449;"create classifier role object org tigris gef base selection buttons node object node button code model collaborations factory create classifier role"
3.450;"org tigris gef base selection buttons create edge org tigris gef graph mutable graph model java lang object object create edge mutable graph model mgm object node mgm connect node content owner model meta types association role"
4.281;"org argouml model visibility object visibility"
3.451;"org tigris gef base selection buttons create edge left org tigris gef graph mutable graph model java lang object object create edge left mutable graph model object node connect node content owner model meta types association role"
3.452;"org tigris gef base selection buttons create edge org tigris gef graph mutable graph model java lang object object create edge mutable graph model object node connect content owner node model meta types association role"
3.453;"enable add icon org tigris gef base selection buttons create edge self org tigris gef graph mutable graph model object create edge self mutable graph model connect content owner content owner model meta types association role"
3.454;"org tigris gef base selection buttons create edge org tigris gef graph mutable graph model java lang object object create edge mutable graph model object node connect content owner node model meta types association role"
3.455;"constructor uml stimulus receiver list model receiver"
3.456;"org argouml uml uml model element list model build model list build model list remove elements add element model facade receiver target"
3.457;"org argouml uml uml model element list model valid element object valid element object base element model facade receiver target element"
3.458;"creates uml model element type connect existing uml model elements uml elements diagram contains elements type responsibility diagram manage items call method param connection type uml object type connection param element uml object element param style aggregationkind connection association param element uml object element param style aggregationkind connection association param unidirectional association associationrole param namespace namespace cant determined newly build connection uml object illegal model element connection exception connection valid object build connection object connection type object element object style object element object style object unidirectional object namespace illegal model element connection exception"
